  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  2.2500     0.0012     0.0758                                                                      
  2.3000     0.0010     0.0669                                                                      
  2.3500     0.0009     0.0590                                                                      
  2.4000     0.0007     0.0520                                                                      
  2.4500     0.0006     0.0457                                                                      
  2.5000     0.0005     0.0402                                                                      
  2.5500     0.0004     0.0354                                                                      
  2.6000     0.0004     0.0310                                                                      
  2.6500     0.0003     0.0272                                                                      
  2.7000     0.0003     0.0239                                                                      
  2.7500     0.0002     0.0209                                                                      
  2.8000     0.0002     0.0183                                                                      
  2.8500     0.0002     0.0160                                                                      
  2.9000     0.0001     0.0140                                                                      
  2.9500     0.0001     0.0123                                                                      
  3.0000     0.0001     0.0107                                                                      
  3.0500     0.0001     0.0094                                                                      
  3.1000     0.0001     0.0082                                                                      
  3.1500     0.0001     0.0071                                                                      
  3.2000     0.0000     0.0062                                                                      
  3.2500     0.0000     0.0054                                                                      
  3.3000     0.0000     0.0048                                                                      
  3.3500     0.0000     0.0041                                                                      
  3.4000     0.0000     0.0036                                                                      
  3.4500     0.0000     0.0032                                                                      
  3.5000     0.0000     0.0028                                                                      
  3.5500     0.0000     0.0024                                                                      
  3.6000     0.0000     0.0021                                                                      
  3.6500     0.0000     0.0018                                                                      
  3.7000     0.0000     0.0016                                                                      
       NPOINTS =       75                                                                           
Nelec (numeric) =   1.99761189                                                                      

  SCF Step   10                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     3.6339     0.1142                                                                      
  0.1000     3.0649     0.3851                                                                      
  0.1500     2.4885     0.7036                                                                      
  0.2000     2.0305     1.0207                                                                      
  0.2500     1.6720     1.3132                                                                      
  0.3000     1.3768     1.5571                                                                      
  0.3500     1.1298     1.7393                                                                      
  0.4000     0.9262     1.8622                                                                      
  0.4500     0.7605     1.9353                                                                      
  0.5000     0.6264     1.9678                                                                      
  0.5500     0.5173     1.9663                                                                      
  0.6000     0.4279     1.9360                                                                      
  0.6500     0.3543     1.8813                                                                      
  0.7000     0.2935     1.8070                                                                      
  0.7500     0.2431     1.7182                                                                      
  0.8000     0.2014     1.6197                                                                      
  0.8500     0.1670     1.5158                                                                      
  0.9000     0.1386     1.4103                                                                      
  0.9500     0.1151     1.3056                                                                      
  1.0000     0.0958     1.2037                                                                      
  1.0500     0.0798     1.1057                                                                      
  1.1000     0.0666     1.0122                                                                      
  1.1500     0.0556     0.9238                                                                      
  1.2000     0.0464     0.8405                                                                      
  1.2500     0.0388     0.7626                                                                      
  1.3000     0.0325     0.6899                                                                      
  1.3500     0.0272     0.6225                                                                      
  1.4000     0.0227     0.5602                                                                      
  1.4500     0.0190     0.5031                                                                      
  1.5000     0.0159     0.4508                                                                      
  1.5500     0.0134     0.4032                                                                      
  1.6000     0.0112     0.3600                                                                      
  1.6500     0.0094     0.3210                                                                      
  1.7000     0.0079     0.2858                                                                      
  1.7500     0.0066     0.2543                                                                      
  1.8000     0.0056     0.2260                                                                      
  1.8500     0.0047     0.2007                                                                      
  1.9000     0.0039     0.1781                                                                      
  1.9500     0.0033     0.1580                                                                      
  2.0000     0.0028     0.1400                                                                      
  2.0500     0.0023     0.1240                                                                      
  2.1000     0.0020     0.1098                                                                      
  2.1500     0.0017     0.0971                                                                      
  2.2000     0.0014     0.0858                                                                      
  2.2500     0.0012     0.0758                                                                      
  2.3000     0.0010     0.0669                                                                      
  2.3500     0.0009     0.0590                                                                      
  2.4000     0.0007     0.0520                                                                      
  2.4500     0.0006     0.0457                                                                      
  2.5000     0.0005     0.0402                                                                      
  2.5500     0.0004     0.0354                                                                      
  2.6000     0.0004     0.0310                                                                      
  2.6500     0.0003     0.0272                                                                      
  2.7000     0.0003     0.0239                                                                      
  2.7500     0.0002     0.0209                                                                      
  2.8000     0.0002     0.0183                                                                      
  2.8500     0.0002     0.0160                                                                      
  2.9000     0.0001     0.0140                                                                      
  2.9500     0.0001     0.0123                                                                      
  3.0000     0.0001     0.0107                                                                      
  3.0500     0.0001     0.0094                                                                      
  3.1000     0.0001     0.0082                                                                      
  3.1500     0.0001     0.0071                                                                      
  3.2000     0.0000     0.0062                                                                      
  3.2500     0.0000     0.0054                                                                      
  3.3000     0.0000     0.0048                                                                      
  3.3500     0.0000     0.0041                                                                      
  3.4000     0.0000     0.0036                                                                      
  3.4500     0.0000     0.0032                                                                      
  3.5000     0.0000     0.0028                                                                      
  3.5500     0.0000     0.0024                                                                      
  3.6000     0.0000     0.0021                                                                      
  3.6500     0.0000     0.0018                                                                      
  3.7000     0.0000     0.0016                                                                      
       NPOINTS =       75                                                                           
Nelec (numeric) =   1.99761189                                                                      

